,Open,High,Low,Close,Adj Close,Volume
,15.174667,15.272667,14.969333,16.312668,15.057333,61878000
,14.800667,14.881333,14.506667,16.208668,14.722000,116914500
,14.853333,15.026667,14.548000,15.535333,14.810000,98385000
,14.664667,14.744667,14.066667,15.428667,14.093333,128079000
,14.240000,14.334667,14.102667,15.848000,14.333333,75778500
,14.382667,14.586667,14.135333,16.003332,14.272000,81243000
,14.246000,14.483333,14.154000,16.302000,14.372667,48382500
,14.600000,14.893333,14.533333,16.316000,14.780667,77692500
,15.276667,15.496000,14.947333,16.525999,15.040667,139809000
,14.938667,15.263333,14.877333,17.130667,15.000667,80311500
,15.126000,15.230667,14.614000,17.192667,14.712000,86415000
,14.833333,15.320000,14.723333,17.316668,15.305333,110929500
,15.146667,15.309333,15.011333,17.464666,15.163333,62841000
,15.333333,15.584000,15.282000,17.129999,15.452667,72040500
,15.386667,15.702667,15.262667,16.900000,15.702667,73255500
,15.825333,16.544666,15.733333,17.038668,16.473333,150642000
,16.513332,16.900000,16.293333,16.978666,16.391333,128718000
,16.464001,16.563334,16.324667,19.978666,16.346666,79696500
,16.400000,16.495333,16.077999,21.875334,16.187332,70921500
,16.164667,16.373333,16.024668,21.847334,16.319332,57981000
,16.333332,16.544666,16.158001,21.081333,16.232668,62553000
,16.400000,16.529333,16.322666,21.000668,16.440001,71937000
,16.432667,16.463333,15.877333,20.994667,16.041332,95295000
,16.000000,16.345333,15.948000,20.887333,16.082001,65103000
,16.101334,16.132668,14.840667,21.164667,14.880667,193372500
,14.970667,15.265333,14.557333,21.148001,15.246667,141406500
,15.377333,16.220667,15.160000,21.771999,16.170668,178267500
,16.146667,16.580667,15.915333,22.369333,16.142000,166746000
,16.200001,16.265333,15.740667,22.476000,16.058001,88197000
,16.100000,16.396667,15.942000,23.006001,16.312668,92439000
,16.219334,16.309999,15.962000,23.328667,16.208668,84471000
,15.457333,15.632000,14.952000,23.073999,15.535333,226267500
,15.440667,15.652000,15.204667,23.290001,15.428667,119925000
,15.320000,15.904000,15.236667,23.478001,15.848000,120963000
,15.724667,16.262667,15.633333,23.332666,16.003332,130173000
,16.087999,16.486668,16.043333,23.968000,16.302000,103416000
,16.351999,16.618668,16.105333,23.481333,16.316000,94249500
,16.476667,16.738667,16.454000,23.655333,16.525999,127131000
,16.526667,17.236668,16.475332,22.202667,17.130667,153075000
,17.180000,17.333332,16.941334,22.422667,17.192667,96492000
,17.159332,17.473333,17.128000,21.927999,17.316668,100261500
,17.500000,17.652000,17.344667,22.086000,17.464666,71539500
,17.379999,17.520000,17.006666,21.996000,17.129999,86247000
,17.222000,17.299999,16.678667,22.324667,16.900000,75304500
,16.954666,17.222000,16.723333,22.413334,17.038668,69012000
,16.966667,17.076000,16.756666,22.202000,16.978666,78916500
,19.891333,20.328667,19.280001,22.024668,19.978666,445813500
,19.848000,22.000000,19.740667,22.392668,21.875334,450091500
,21.836000,22.722668,21.506666,22.635332,21.847334,283054500
,21.332666,21.620001,20.983334,23.256001,21.081333,190264500
,20.866667,21.252666,20.664667,23.513332,21.000668,144627000
,20.873333,21.266666,20.866667,23.978666,20.994667,76005000
,21.087999,21.098667,20.653334,23.892668,20.887333,95758500
,20.986668,21.462667,20.617332,25.433332,21.164667,131805000
,21.308001,21.567333,21.074667,25.266001,21.148001,104151000
,21.200001,21.781334,20.966667,26.209999,21.771999,119113500
,21.942667,22.766666,21.868000,26.936001,22.369333,217009500
,22.299999,22.497334,22.166668,27.039333,22.476000,91038000
,22.930000,23.279333,22.799999,27.948000,23.006001,149800500
,23.126667,23.358000,22.936001,28.350000,23.328667,110391000
,23.666668,23.755333,23.011999,28.729334,23.073999,126301500
,23.073999,23.589333,22.860666,28.691999,23.290001,96973500
,23.375999,23.520000,23.224001,27.646667,23.478001,72135000
,23.528000,23.543333,23.073334,27.888666,23.332666,66006000
,23.450001,23.999332,23.186666,28.684000,23.968000,115872000
,24.000000,24.080000,23.304667,29.534000,23.481333,100876500
,23.634001,24.056000,23.600000,30.102667,23.655333,91650000
,22.677334,22.733334,22.000000,31.270666,22.202667,253059000
,22.954666,22.971333,22.297333,32.809334,22.422667,185092500
,22.351334,22.366667,21.806667,32.089333,21.927999,119211000
,22.074667,22.261999,21.904667,31.876667,22.086000,83334000
,22.073999,22.084000,21.833332,34.990665,21.996000,36984000
,21.959999,22.425333,21.912666,35.861332,22.324667,91117500
,22.174667,22.527332,22.146000,34.566666,22.413334,98605500
,22.516666,22.524000,22.190001,34.232666,22.202000,82995000
,22.188667,22.294666,21.816668,34.033333,22.024668,55869000
,22.333332,22.590668,22.318001,36.480000,22.392668,114186000
,22.439333,22.963333,22.338667,37.970669,22.635332,135346500
,22.664000,23.382000,22.620667,38.146667,23.256001,132424500
,23.458668,23.812668,23.406000,37.654667,23.513332,103467000
,23.661333,24.182667,23.548668,37.201332,23.978666,116458500
,24.070000,24.347334,23.642668,37.793331,23.892668,98563500
,24.170000,25.573999,24.166668,38.732666,25.433332,272613000
,25.266001,25.700001,25.059999,42.720669,25.266001,127452000
,25.375334,26.348000,25.372000,43.371334,26.209999,211815000
,26.488001,27.123333,26.433332,52.000000,26.936001,271606500
,27.352667,27.533333,26.679333,59.137333,27.039333,221290500
,27.452000,28.134001,27.333332,48.980000,27.948000,199794000
,27.890667,28.364668,27.512667,49.930668,28.350000,120820500
,28.527332,28.898666,28.423332,49.871334,28.729334,159508500
,29.000000,29.020666,28.407333,51.418667,28.691999,149185500
,28.586000,28.600000,27.284000,51.625332,27.646667,188796000
,27.000000,28.086000,26.805332,51.152668,27.888666,154285500
,28.299999,28.713333,28.114000,53.599998,28.684000,142981500
,29.366667,30.266666,29.128000,53.335335,29.534000,266677500
,29.364668,30.104000,29.333332,57.226665,30.102667,151995000
,30.760000,31.441999,30.224001,61.161331,31.270666,268231500
,31.580000,33.232666,31.215334,59.960667,32.809334,467164500
,33.139999,33.253334,31.524668,60.066666,32.089333,426606000
,32.119331,32.329334,31.580000,55.585999,31.876667,194392500
,32.900002,35.042000,32.799999,53.327332,34.990665,397764000
,36.284000,36.493999,34.993332,51.919998,35.861332,434943000
,35.317333,35.855999,34.452667,45.266666,34.566666,260532000
,32.916668,34.297333,32.811333,44.532665,34.232666,326050500
,33.840668,34.377998,33.543999,49.574669,34.033333,204436500
,35.349998,36.571999,35.227333,49.700668,36.480000,267052500
,38.125999,39.633331,37.273335,49.966667,37.970669,470535000
,37.616669,38.799999,37.040001,48.302666,38.146667,294765000
,38.042000,38.257332,36.950668,46.898666,37.654667,215304000
,36.132668,37.629333,35.952000,40.533333,37.201332,204121500
,37.899334,38.453999,37.205334,43.021999,37.793331,176827500
,38.379333,39.320000,37.828667,42.282001,38.732666,267022500
,42.161331,43.391998,41.200001,37.369999,42.720669,435085500
,42.666668,43.533333,42.167999,36.441334,43.371334,235789500
,44.912666,52.409332,44.901333,29.671333,52.000000,705975000
,58.863998,64.599335,55.591999,28.680000,59.137333,914082000
,54.883999,56.398666,46.940666,24.081333,48.980000,726357000
,46.661331,53.055332,45.799999,28.509333,49.930668,598212000
,48.703335,51.316666,48.666668,28.502001,49.871334,255952500
,53.333332,54.666000,50.160000,28.952667,51.418667,370338000
,51.252666,52.234001,50.533333,33.666668,51.625332,175462500
,51.858002,52.650002,50.891335,35.950001,51.152668,180337500
,49.456001,54.533333,49.000000,35.210667,53.599998,394339500
,52.481335,54.198002,52.366669,34.290668,53.335335,235405500
,56.106667,57.333332,55.490665,33.475334,57.226665,245725500
,61.566666,62.985332,60.068001,34.933334,61.161331,381345000
,60.796665,60.799999,57.329334,32.104000,59.960667,264523500
,60.465332,60.870667,58.696667,30.298000,60.066666,214722000
,55.933334,57.566666,54.813332,32.000668,55.585999,227883000
,56.599998,57.106667,52.466667,34.416000,53.327332,259357500
,52.166668,54.220669,51.740665,36.363335,51.919998,211282500
,48.666668,49.318001,44.599998,36.589333,45.266666,364158000
,41.980000,46.034668,40.768002,38.200001,44.532665,363343500
,47.417332,49.579334,45.778000,43.396667,49.574669,302925000
,53.666668,53.798668,47.740665,47.326000,49.700668,386760000
,50.930668,51.101334,48.315334,48.655334,49.966667,225735000
,48.251331,49.716667,47.871334,49.680668,48.302666,162790500
,46.000000,47.133331,45.618000,50.259335,46.898666,189943500
,40.359333,44.200001,40.333332,49.757332,40.533333,256105500
,43.962002,44.533333,40.533333,45.781334,43.021999,233916000
,42.680000,43.571999,40.866669,48.807335,42.282001,199837500
,38.726002,39.633331,36.416668,47.042000,37.369999,283636500
,39.666668,40.504665,33.466667,48.343334,36.441334,339604500
,31.299999,32.991333,29.478001,53.250000,29.671333,307342500
,29.334000,31.456667,26.400000,51.274666,28.680000,359919000
,25.933332,26.990667,23.367332,53.367332,24.081333,356793000
,24.980000,30.133333,23.897333,52.125332,28.509333,452932500
,29.213333,31.799999,28.386000,46.754665,28.502001,424282500
,28.906668,29.466667,27.366667,50.745998,28.952667,246817500
,31.820000,34.245998,31.600000,51.214001,33.666668,343428000
,36.349998,37.133331,34.074001,52.172001,35.950001,318340500
,36.492668,37.333332,34.150002,52.002666,35.210667,260710500
,33.666668,35.053333,32.935333,54.627998,34.290668,215661000
,34.017334,34.443333,32.748669,54.085999,33.475334,179971500
,33.416668,36.197334,33.133331,53.960667,34.933334,266572500
,33.599998,34.263332,31.673332,52.730667,32.104000,200298000
,32.068668,32.950668,29.760000,53.555332,30.298000,297876000
,33.966667,34.366001,31.226000,53.278000,32.000668,338431500
,34.080002,34.733334,33.197334,54.242001,34.416000,223527000
,36.333332,37.666668,35.489334,53.867332,36.363335,268797000
,36.946667,37.147331,35.555332,54.370667,36.589333,189840000
,37.472668,38.345333,37.140667,55.173332,38.200001,204750000
,39.344002,43.466667,38.702000,54.458668,43.396667,337131000
,46.598000,49.458668,46.161999,54.591331,47.326000,458647500
,49.466667,50.208668,47.333332,54.681999,48.655334,353655000
,47.796001,50.630001,47.114666,53.720669,49.680668,309868500
,51.485332,51.663334,49.844002,55.666668,50.259335,196923000
,48.846668,51.037998,47.480667,59.873333,49.757332,221199000
,48.674667,50.222000,44.919334,58.770668,45.781334,303136500
,46.931999,48.933334,45.914001,58.863998,48.807335,212482500
,48.506668,48.933334,46.875332,57.625332,47.042000,198550500
,47.387333,48.715332,46.545334,59.043999,48.343334,198180000
,49.174000,53.299332,49.000000,63.327999,53.250000,310221000
,53.042667,53.666668,50.445999,62.711334,51.274666,228330000
,52.678001,53.546665,52.210667,68.336670,53.367332,243240000
,57.012669,57.987999,50.900002,64.856003,52.125332,427078500
,50.333332,51.518002,45.535999,62.352001,46.754665,487977000
,46.733334,50.799999,46.533333,66.059998,50.745998,288556500
,52.652668,53.261333,50.812000,65.475334,51.214001,254875500
,51.766666,52.653332,50.740665,66.119331,52.172001,166848000
,51.813999,53.093334,51.490002,66.930664,52.002666,172915500
,52.917999,54.933334,52.467335,66.726669,54.627998,241297500
,52.700668,54.933334,52.333332,66.288002,54.085999,247794000
,55.133331,56.219334,53.866669,66.785332,53.960667,238603500
,54.722000,55.066666,50.886665,64.056664,52.730667,285982500
,52.000000,53.557335,50.933334,65.732002,53.555332,205233000
,52.689999,53.669998,52.436668,63.982666,53.278000,157776000
,55.185333,55.647999,53.591999,67.290001,54.242001,174987000
,54.344666,54.804668,53.738667,71.987335,53.867332,144547500
,54.700001,55.066666,54.119999,74.641998,54.370667,109639500
,54.400002,55.500000,53.066666,80.577332,55.173332,183819000
,54.811333,55.452000,54.133331,91.438667,54.458668,149812500
,55.633331,55.639999,54.380669,92.657333,54.591331,121345500
,54.723999,55.180668,52.333332,91.058670,54.681999,173242500
,54.234001,54.983334,53.445999,92.952003,53.720669,108834000
,53.916668,55.666668,53.613998,102.976669,55.666668,176467500
,57.200001,59.933334,56.939999,99.804001,59.873333,224092500
,59.646667,60.577332,58.066666,101.120003,58.770668,203484000
,59.208000,59.862667,58.673332,103.067329,58.863998,119242500
,59.325333,59.716667,57.229332,100.042664,57.625332,133315500
,58.522667,59.101334,57.746666,100.056000,59.043999,117178500
,61.266666,63.333332,60.610668,109.533333,63.327999,212620500
,62.667332,63.629333,61.595333,104.557335,62.711334,170823000
,66.125336,68.498665,65.500000,106.155334,68.336670,278451000
,66.013336,67.930664,64.800003,100.871330,64.856003,238747500
,65.333336,65.865334,60.840000,94.466667,62.352001,251451000
,61.186001,66.589333,60.566666,102.639999,66.059998,235458000
,67.456665,67.525330,64.159332,98.432671,65.475334,210766500
,65.847336,67.000000,65.504669,99.940666,66.119331,148362000
,66.866669,67.946671,66.297997,99.166000,66.930664,146278500
,67.518669,67.731331,66.089333,95.384003,66.726669,130195500
,66.663330,67.258667,66.001335,99.000000,66.288002,95436000
